"Qty","Value","Device","Package","Parts","Description","BOM","PARTNUM","VALUE",
"3","","PINHD-1X6LOCK","1X06-BIGLOCK","JP3, JP4, JP5","PIN HEADER","","M20-9990646","",
"3",".1uF","CAPACITOR-.1UF","0603","C4, C7, C8","Capacitor","","C0603C104K5RACTU",".1uF",
"3","10uF","CAPACITOR-10UF","0603","C1, C6, C9","Capacitor","","GRM188R61C106MA73D","10uF",
"1","10uH","INDUCTOR-10UH","0603","L1","","","BLM18TG102TN1D","10uH",
"2","18pF","CAPACITOR-18PF","0603","C2, C3","Capacitor","","C0603C180J5GACTU","18pF",
"2","1KΩ","RESISTOR-1KΩ","0603","R9, R10","Resistor","","ERJ-3EKF1001V","1KΩ",
"6","470Ω","RESISTOR-470Ω","0603","R3, R4, R5, R6, R7, R8","Resistor","","ERJ-3EKF4700V","470Ω",
"1","56uF","CAPACITOR-POL-56UF-25V","PANASONIC_D","C5","","","EMVA250ADA560MF55G","56uF",
"2","5kΩ","RESISTOR-5KΩ","0603","R1, R2","Resistor","","ERJ-3EKF5101V","5kΩ",
"1","ATSAMD21E18A-AU","SAMD21E","TQFP-32","U1","","","ATSAMD21E18A-AUT","ATSAMD21E18A-AU",
"1","CRYSTAL-AB26TRQ-32.768K","CRYSTAL-AB26TRQ-32.768K","CRYSTAL-AB26TRQ","X1","","","AB26TRQ-32.768KHZ-T","",
"1","DEVICE-PCB","DEVICE-PCB","DEVICE-PCB","PCB1","Modulo Footprint","","Controller PCB","",
"1","DIODE-SCHOTTKY","DIODE-SCHOTTKY","SMP","D1","","","SS3P3-M3/84A","",
"6","DIODE-SCHOTTKY-BAT60A","DIODE-SCHOTTKY-BAT60A","SOD-323","D2, D3, D4, D5, D6, D7","","","RB751V40","",
"1","HEADER-1X4-AMPMODU","HEADER-1X4-AMPMODU","AMPMODU-4P","JP2","","","147721-3","",
"1","M02LOCK","M02LOCK","1X02_LOCK","JP6","Standard 2-pin 0.1" header. Use with","","M20-9990246","",
"1","SWITCH-PTS-810","SWITCH-PTS-810","TACT-SWITCH-PTS-810","SW1","","","PTS810 SJM 250 SMTR LFS","",
"1","USBFCI-MICROB","USBFCI-MICROB","USB-MICROB-FCI","JP1","","","10118193-0001LF","",
"1","VREG-MIC5205-3.3V","VREG-MIC5205-3.3V","SOT23-5","U2","V_REG MIC5219","","MIC5205-3.3YM5 TR","",
"1","blue","LED-0805-BLUE","0805-LED","LED1","LED","","LTST-C171KRKT","blue",
"1","blue","LED-0805-BLUE","0805-LED","LED2","LED","","LTST-C171TBKT","blue",
