RefDes,Layer,LocationX,LocationY,Rotation
8-C1,Top,0.688,0.738,180
8-JP1,Bottom,0.700,0.825,0
8-LED1,Top,0.212,0.900,180
8-R1,Top,0.212,0.725,90
8-R2,Top,0.438,0.725,270
8-R3,Top,1.150,0.725,270
8-R4,Top,0.287,0.725,270
8-R5,Top,1.075,0.725,270
8-R6,Top,0.975,0.725,270
8-R7,Top,0.512,0.725,270
8-R8,Top,0.362,0.725,270
8-R9,Top,0.875,0.725,270
8-R10,Top,0.450,1.050,90
8-R11,Top,0.950,1.087,90
8-SJ1,Bottom,0.975,0.775,270
8-U1,Bottom,1.125,0.775,270
8-U2,Top,0.675,0.825,90
FID1,Top,1.238,0.237,90
FID2,Top,0.175,0.450,0
FID4,Bottom,0.950,1.075,0
FID5,Bottom,0.175,0.450,0
